
#(U-2J)  Del
-21.7918  0.4918  -11.2592
-21.7417  0.4917  -11.2350
-21.6917  0.4917  -11.2108
-21.6416  0.4917  -11.1866
-21.5916  0.4916  -11.1624
-21.5415  0.4916  -11.1382
-21.4915  0.4915  -11.1140
-21.4414  0.4915  -11.0899
-21.3914  0.4915  -11.0657
-21.3413  0.4914  -11.0415
-21.2913  0.4914  -11.0173
-21.2412  0.4913  -10.9932
-21.1912  0.4913  -10.9690
-21.1411  0.4913  -10.9448
-21.0911  0.4912  -10.9207
-21.0410  0.4912  -10.8965
-20.9910  0.4911  -10.8724
-20.9409  0.4911  -10.8482
-20.8909  0.4911  -10.8241
-20.8408  0.4910  -10.8000
-20.7908  0.4910  -10.7758
-20.7407  0.4909  -10.7517
-20.6907  0.4909  -10.7276
-20.6406  0.4908  -10.7035
-20.5906  0.4908  -10.6793
-20.5405  0.4908  -10.6552
-20.4905  0.4907  -10.6311
-20.4404  0.4907  -10.6070
-20.3904  0.4906  -10.5829
-20.3403  0.4906  -10.5588
-20.2903  0.4905  -10.5347
-20.2402  0.4905  -10.5107
-20.1902  0.4904  -10.4866
-20.1401  0.4904  -10.4625
-20.0901  0.4904  -10.4384
-20.0400  0.4903  -10.4144
-19.9900  0.4903  -10.3903
-19.9399  0.4902  -10.3662
-19.8899  0.4902  -10.3422
-19.8398  0.4901  -10.3181
-19.7898  0.4901  -10.2941
-19.7397  0.4900  -10.2701
-19.6897  0.4900  -10.2460
-19.6396  0.4899  -10.2220
-19.5896  0.4899  -10.1980
-19.5395  0.4898  -10.1740
-19.4895  0.4898  -10.1500
-19.4394  0.4897  -10.1259
-19.3894  0.4897  -10.1019
-19.3393  0.4896  -10.0779
-19.2893  0.4896  -10.0539
-19.2392  0.4895  -10.0300
-19.1892  0.4895  -10.0060
-19.1391  0.4894  -9.9820
-19.0891  0.4893  -9.9580
-19.0390  0.4893  -9.9341
-18.9890  0.4892  -9.9101
-18.9389  0.4892  -9.8861
-18.8889  0.4891  -9.8622
-18.8388  0.4891  -9.8382
-18.7888  0.4890  -9.8143
-18.7387  0.4890  -9.7904
-18.6887  0.4889  -9.7664
-18.6386  0.4888  -9.7425
-18.5886  0.4888  -9.7186
-18.5385  0.4887  -9.6947
-18.4885  0.4887  -9.6708
-18.4384  0.4886  -9.6469
-18.3884  0.4885  -9.6230
-18.3383  0.4885  -9.5991
-18.2883  0.4884  -9.5752
-18.2382  0.4884  -9.5513
-18.1882  0.4883  -9.5275
-18.1381  0.4882  -9.5036
-18.0881  0.4882  -9.4798
-18.0380  0.4881  -9.4559
-17.9880  0.4880  -9.4321
-17.9379  0.4880  -9.4082
-17.8879  0.4879  -9.3844
-17.8378  0.4878  -9.3606
-17.7878  0.4878  -9.3367
-17.7377  0.4877  -9.3129
-17.6877  0.4876  -9.2891
-17.6376  0.4876  -9.2653
-17.5876  0.4875  -9.2415
-17.5375  0.4874  -9.2177
-17.4875  0.4874  -9.1940
-17.4374  0.4873  -9.1702
-17.3874  0.4872  -9.1464
-17.3373  0.4872  -9.1227
-17.2873  0.4871  -9.0989
-17.2372  0.4870  -9.0752
-17.1872  0.4869  -9.0514
-17.1371  0.4869  -9.0277
-17.0871  0.4868  -9.0040
-17.0370  0.4867  -8.9803
-16.9870  0.4866  -8.9565
-16.9369  0.4866  -8.9328
-16.8869  0.4865  -8.9091
-16.8368  0.4864  -8.8855
-16.7868  0.4863  -8.8618
-16.7367  0.4863  -8.8381
-16.6867  0.4862  -8.8144
-16.6366  0.4861  -8.7908
-16.5866  0.4860  -8.7671
-16.5365  0.4859  -8.7435
-16.4865  0.4859  -8.7199
-16.4364  0.4858  -8.6962
-16.3864  0.4857  -8.6726
-16.3363  0.4856  -8.6490
-16.2863  0.4855  -8.6254
-16.2362  0.4854  -8.6018
-16.1862  0.4853  -8.5782
-16.1361  0.4853  -8.5547
-16.0861  0.4852  -8.5311
-16.0360  0.4851  -8.5075
-15.9860  0.4850  -8.4840
-15.9359  0.4849  -8.4605
