
#U  J  Del_inter
-9.6970  -3.4724  -0.0000
-9.6970  -3.4116  0.0000
-9.6970  -3.3508  0.0000
-9.6970  -3.2899  0.0000
-9.6970  -3.2291  -0.0000
-9.6970  -3.1683  0.0001
-9.6970  -3.1075  0.0000
-9.6970  -3.0467  0.0000
-9.6970  -2.9859  0.0000
-9.6970  -2.9251  0.0000
-9.6970  -2.8643  -0.0000
-9.6970  -2.8035  0.0000
-9.6970  -2.7427  0.0000
-9.6970  -2.6819  0.0000
-9.6970  -2.6211  0.0000
-9.6970  -2.5603  0.0000
-9.6970  -2.4995  -0.0000
-9.6970  -2.4387  0.0000
-9.6970  -2.3779  0.0000
-9.6970  -2.3171  0.0000
-9.6970  -2.2563  0.0000
-9.6970  -2.1955  0.0000
-9.6970  -2.1347  0.0000
-9.6970  -2.0739  -0.0000
-9.6970  -2.0131  -0.0000
-9.6970  -1.9523  0.0000
-9.6970  -1.8915  0.0000
-9.6970  -1.8307  0.0000
-9.6970  -1.7698  -0.0000
-9.6970  -1.7090  -0.0000
-9.6970  -1.6482  -0.0000
-9.6970  -1.5874  -0.0000
-9.6970  -1.5266  0.0000
-9.6970  -1.4658  0.0001
-9.6970  -1.4050  0.0000
-9.6970  -1.3442  -0.0000
-9.6970  -1.2834  0.0000
-9.6970  -1.2226  -0.0000
-9.6970  -1.1618  -0.0000
-9.6970  -1.1010  0.0000
-9.6970  -1.0402  0.0000
-9.6970  -0.9794  -0.0000
-9.6970  -0.9186  -0.0000
-9.6970  -0.8578  0.0000
-9.6970  -0.7970  0.0000
-9.6970  -0.7362  0.0000
-9.6970  -0.6754  0.0000
-9.6970  -0.6146  0.0000
-9.6970  -0.5538  0.0000
-9.6970  -0.4930  0.0000
-9.6970  -0.4322  -0.0000
-9.6970  -0.3714  -0.0000
-9.6970  -0.3106  0.0000
-9.6970  -0.2497  -0.0000
-9.6970  -0.1889  0.0000
-9.6970  -0.1281  0.0000
-9.6970  -0.0673  0.0000
-9.6970  -0.0065  0.0000
-9.6970  0.0543  0.0000
-9.6970  0.1151  -0.0000
-9.6970  0.1759  0.0000
-9.6970  0.2367  -0.0000
-9.6970  0.2975  0.0000
-9.6970  0.3583  0.0000
-9.6970  0.4191  -0.0000
-9.6970  0.4799  -0.0000
-9.6970  0.5407  0.0000
-9.6970  0.6015  -0.0000
-9.6970  0.6623  -0.0000
-9.6970  0.7231  -0.0000
-9.6970  0.7839  -0.0000
-9.6970  0.8447  0.0000
-9.6970  0.9055  0.0000
-9.6970  0.9663  0.0000
-9.6970  1.0271  -0.0000
-9.6970  1.0879  -0.0000
-9.6970  1.1487  -0.0000
-9.6970  1.2095  0.0000
-9.6970  1.2704  0.0001
-9.6970  1.3312  0.0000
-9.6970  1.3920  0.0000
-9.6970  1.4528  -0.0000
-9.6970  1.5136  0.0000
-9.6970  1.5744  0.0000
-9.6970  1.6352  -0.0000
-9.6970  1.6960  0.0000
-9.6970  1.7568  0.0000
-9.6970  1.8176  0.0000
-9.6970  1.8784  0.0000
-9.6970  1.9392  0.0000
-9.6970  2.0000  -0.0000
-9.5960  -10.1000  0.0000
-9.5960  -10.0392  0.0000
-9.5960  -9.9784  0.0000
-9.5960  -9.9176  0.0000
-9.5960  -9.8568  0.0000
-9.5960  -9.7960  0.0000
-9.5960  -9.7352  0.0000
-9.5960  -9.6744  0.0000
-9.5960  -9.6136  0.0000
-9.5960  -9.5528  0.0000
-9.5960  -9.4920  0.0000
-9.5960  -9.4312  0.0000
-9.5960  -9.3704  0.0000
-9.5960  -9.3095  0.0000
-9.5960  -9.2487  0.0000
-9.5960  -9.1879  0.0000
-9.5960  -9.1271  0.0000
-9.5960  -9.0663  0.0000
-9.5960  -9.0055  0.0000
-9.5960  -8.9447  0.0000
