# U  Del  E
-3.7017  0.3295  -3.5261
-3.6697  0.3277  -3.5192
-3.6376  0.3258  -3.5123
-3.6056  0.3240  -3.5056
-3.5736  0.3220  -3.4989
-3.5415  0.3201  -3.4923
-3.5095  0.3181  -3.4857
-3.4775  0.3162  -3.4793
-3.4454  0.3141  -3.4729
-3.4134  0.3121  -3.4667
-3.3814  0.3100  -3.4605
-3.3493  0.3079  -3.4544
-3.3173  0.3058  -3.4483
-3.2853  0.3037  -3.4424
-3.2533  0.3015  -3.4365
-3.2212  0.2993  -3.4307
-3.1892  0.2970  -3.4250
-3.1572  0.2947  -3.4194
-3.1251  0.2924  -3.4139
-3.0931  0.2901  -3.4085
-3.0611  0.2877  -3.4031
-3.0290  0.2853  -3.3979
-2.9970  0.2829  -3.3927
-2.9650  0.2804  -3.3876
-2.9329  0.2779  -3.3827
-2.9009  0.2753  -3.3778
-2.8689  0.2728  -3.3729
-2.8368  0.2701  -3.3682
-2.8048  0.2675  -3.3636
-2.7728  0.2648  -3.3591
-2.7407  0.2621  -3.3546
-2.7087  0.2593  -3.3503
-2.6767  0.2565  -3.3460
-2.6446  0.2537  -3.3418
-2.6126  0.2508  -3.3378
-2.5806  0.2479  -3.3338
-2.5485  0.2450  -3.3299
-2.5165  0.2420  -3.3261
-2.4845  0.2389  -3.3224
-2.4525  0.2359  -3.3188
-2.4204  0.2328  -3.3153
-2.3884  0.2296  -3.3119
-2.3564  0.2264  -3.3085
-2.3243  0.2232  -3.3053
-2.2923  0.2199  -3.3022
-2.2603  0.2166  -3.2991
-2.2282  0.2132  -3.2961
-2.1962  0.2099  -3.2933
-2.1642  0.2064  -3.2905
-2.1321  0.2029  -3.2878
-2.1001  0.1994  -3.2852
-2.0681  0.1959  -3.2827
-2.0360  0.1922  -3.2803
-2.0040  0.1886  -3.2780
-1.9720  0.1849  -3.2758
-1.9399  0.1812  -3.2736
-1.9079  0.1774  -3.2716
-1.8759  0.1736  -3.2696
-1.8438  0.1698  -3.2677
-1.8118  0.1659  -3.2659
-1.7798  0.1620  -3.2642
-1.7477  0.1580  -3.2626
-1.7157  0.1540  -3.2610
-1.6837  0.1500  -3.2595
-1.6517  0.1459  -3.2581
-1.6196  0.1418  -3.2568
-1.5876  0.1377  -3.2555
-1.5556  0.1336  -3.2544
-1.5235  0.1294  -3.2533
-1.4915  0.1252  -3.2522
-1.4595  0.1209  -3.2513
-1.4274  0.1167  -3.2504
-1.3954  0.1124  -3.2495
-1.3634  0.1082  -3.2487
-1.3313  0.1039  -3.2480
-1.2993  0.0996  -3.2474
-1.2673  0.0953  -3.2468
-1.2352  0.0910  -3.2462
-1.2032  0.0867  -3.2457
-1.1712  0.0824  -3.2452
-1.1391  0.0781  -3.2448
-1.1071  0.0739  -3.2445
-1.0751  0.0697  -3.2441
-1.0430  0.0655  -3.2438
-1.0110  0.0613  -3.2436
-0.9790  0.0573  -3.2434
-0.9469  0.0532  -3.2432
-0.9149  0.0493  -3.2430
-0.8829  0.0454  -3.2429
-0.8509  0.0416  -3.2427
-0.8188  0.0379  -3.2426
-0.7868  0.0344  -3.2426
-0.7548  0.0309  -3.2425
-0.7227  0.0276  -3.2424
-0.6907  0.0244  -3.2424
-0.6587  0.0215  -3.2424
-0.6266  0.0187  -3.2423
-0.5946  0.0163  -3.2423
-0.5626  0.0140  -3.2423
-0.5305  0.0121  -3.2423
-0.4985  0.0104  -3.2423
-0.4665  0.0089  -3.2423
-0.4344  0.0077  -3.2423
-0.4024  0.0067  -3.2423
-0.3704  0.0059  -3.2423
-0.3383  0.0052  -3.2423
-0.3063  0.0046  -3.2423
-0.2743  0.0041  -3.2423
-0.2422  0.0037  -3.2423
-0.2102  0.0034  -3.2423
-0.1782  0.0031  -3.2423
-0.1461  0.0028  -3.2423
-0.1141  0.0026  -3.2423
-0.0821  0.0024  -3.2423
-0.0501  0.0022  -3.2423
-0.0180  0.0021  -3.2423
0.0140  0.0000  -3.2423
0.0460  0.0000  -3.2423
0.0781  0.0000  -3.2423
0.1101  0.0000  -3.2423
0.1421  0.0000  -3.2423
0.1742  0.0000  -3.2423
0.2062  0.0000  -3.2423
0.2382  0.0000  -3.2423
0.2703  0.0000  -3.2423
0.3023  0.0000  -3.2423
0.3343  0.0000  -3.2423
0.3664  0.0000  -3.2423
0.3984  0.0000  -3.2423
0.4304  0.0000  -3.2423
0.4625  0.0000  -3.2423
0.4945  0.0000  -3.2423
0.5265  0.0000  -3.2423
0.5586  0.0000  -3.2423
0.5906  0.0000  -3.2423
0.6226  0.0000  -3.2423
0.6547  0.0000  -3.2423
0.6867  0.0000  -3.2423
0.7187  0.0000  -3.2423
0.7508  0.0000  -3.2423
0.7828  0.0000  -3.2423
0.8148  0.0000  -3.2423
0.8468  0.0000  -3.2423
0.8789  0.0000  -3.2423
0.9109  0.0000  -3.2423
0.9429  0.0000  -3.2423
0.9750  0.0000  -3.2423
1.0070  0.0000  -3.2423
1.0390  0.0000  -3.2423
1.0711  0.0000  -3.2423
1.1031  0.0000  -3.2423
1.1351  0.0000  -3.2423
1.1672  0.0000  -3.2423
1.1992  0.0000  -3.2423
1.2312  0.0000  -3.2423
1.2633  0.0000  -3.2423
1.2953  0.0000  -3.2423
1.3273  0.0000  -3.2423
1.3594  0.0000  -3.2423
1.3914  0.0000  -3.2423
1.4234  0.0000  -3.2423
1.4555  0.0000  -3.2423
1.4875  0.0000  -3.2423
1.5195  0.0000  -3.2423
1.5516  0.0000  -3.2423
1.5836  0.0000  -3.2423
1.6156  0.0000  -3.2423
1.6476  0.0000  -3.2423
1.6797  0.0000  -3.2423
1.7117  0.0000  -3.2423
1.7437  0.0000  -3.2423
1.7758  0.0000  -3.2423
1.8078  0.0000  -3.2423
1.8398  0.0000  -3.2423
1.8719  0.0000  -3.2423
1.9039  0.0000  -3.2423
1.9359  0.0000  -3.2423
1.9680  0.0000  -3.2423
2.0000  0.0000  -3.2423
