# U  Del  E
-24.0100  0.4932  -12.3354
-23.9780  0.4932  -12.3198
-23.9459  0.4932  -12.3042
-23.9139  0.4931  -12.2886
-23.8819  0.4931  -12.2730
-23.8498  0.4931  -12.2575
-23.8178  0.4931  -12.2419
-23.7858  0.4931  -12.2263
-23.7538  0.4930  -12.2107
-23.7217  0.4930  -12.1952
-23.6897  0.4930  -12.1796
-23.6577  0.4930  -12.1640
-23.6256  0.4930  -12.1484
-23.5936  0.4930  -12.1329
-23.5616  0.4929  -12.1173
-23.5295  0.4929  -12.1017
-23.4975  0.4929  -12.0862
-23.4655  0.4929  -12.0706
-23.4334  0.4929  -12.0551
-23.4014  0.4928  -12.0395
-23.3694  0.4928  -12.0239
-23.3373  0.4928  -12.0084
-23.3053  0.4928  -11.9928
-23.2733  0.4928  -11.9773
-23.2412  0.4927  -11.9617
-23.2092  0.4927  -11.9462
-23.1772  0.4927  -11.9306
-23.1451  0.4927  -11.9150
-23.1131  0.4927  -11.8995
-23.0811  0.4926  -11.8839
-23.0490  0.4926  -11.8684
-23.0170  0.4926  -11.8529
-22.9850  0.4926  -11.8373
-22.9530  0.4926  -11.8218
-22.9209  0.4925  -11.8062
-22.8889  0.4925  -11.7907
-22.8569  0.4925  -11.7751
-22.8248  0.4925  -11.7596
-22.7928  0.4925  -11.7441
-22.7608  0.4924  -11.7285
-22.7287  0.4924  -11.7130
-22.6967  0.4924  -11.6975
-22.6647  0.4924  -11.6819
-22.6326  0.4924  -11.6664
-22.6006  0.4923  -11.6509
-22.5686  0.4923  -11.6353
-22.5365  0.4923  -11.6198
-22.5045  0.4923  -11.6043
-22.4725  0.4922  -11.5888
-22.4404  0.4922  -11.5732
-22.4084  0.4922  -11.5577
-22.3764  0.4922  -11.5422
-22.3443  0.4922  -11.5267
-22.3123  0.4921  -11.5112
-22.2803  0.4921  -11.4957
-22.2482  0.4921  -11.4801
-22.2162  0.4921  -11.4646
-22.1842  0.4921  -11.4491
-22.1522  0.4920  -11.4336
-22.1201  0.4920  -11.4181
-22.0881  0.4920  -11.4026
-22.0561  0.4920  -11.3871
-22.0240  0.4919  -11.3716
-21.9920  0.4919  -11.3561
-21.9600  0.4919  -11.3406
-21.9279  0.4919  -11.3251
-21.8959  0.4918  -11.3096
-21.8639  0.4918  -11.2941
-21.8318  0.4918  -11.2786
-21.7998  0.4918  -11.2631
-21.7678  0.4918  -11.2476
-21.7357  0.4917  -11.2321
-21.7037  0.4917  -11.2166
-21.6717  0.4917  -11.2011
-21.6396  0.4917  -11.1856
-21.6076  0.4916  -11.1702
-21.5756  0.4916  -11.1547
-21.5435  0.4916  -11.1392
-21.5115  0.4916  -11.1237
-21.4795  0.4915  -11.1082
-21.4474  0.4915  -11.0928
-21.4154  0.4915  -11.0773
-21.3834  0.4915  -11.0618
-21.3514  0.4914  -11.0463
-21.3193  0.4914  -11.0309
-21.2873  0.4914  -11.0154
-21.2553  0.4914  -10.9999
-21.2232  0.4913  -10.9845
-21.1912  0.4913  -10.9690
-21.1592  0.4913  -10.9535
-21.1271  0.4913  -10.9381
-21.0951  0.4912  -10.9226
-21.0631  0.4912  -10.9072
-21.0310  0.4912  -10.8917
-20.9990  0.4912  -10.8762
-20.9670  0.4911  -10.8608
-20.9349  0.4911  -10.8453
-20.9029  0.4911  -10.8299
-20.8709  0.4910  -10.8144
-20.8388  0.4910  -10.7990
-20.8068  0.4910  -10.7835
-20.7748  0.4910  -10.7681
-20.7427  0.4909  -10.7527
-20.7107  0.4909  -10.7372
-20.6787  0.4909  -10.7218
-20.6466  0.4909  -10.7064
-20.6146  0.4908  -10.6909
-20.5826  0.4908  -10.6755
-20.5506  0.4908  -10.6601
-20.5185  0.4907  -10.6446
-20.4865  0.4907  -10.6292
-20.4545  0.4907  -10.6138
-20.4224  0.4907  -10.5983
-20.3904  0.4906  -10.5829
-20.3584  0.4906  -10.5675
-20.3263  0.4906  -10.5521
-20.2943  0.4905  -10.5367
-20.2623  0.4905  -10.5213
-20.2302  0.4905  -10.5058
-20.1982  0.4905  -10.4904
-20.1662  0.4904  -10.4750
-20.1341  0.4904  -10.4596
-20.1021  0.4904  -10.4442
-20.0701  0.4903  -10.4288
-20.0380  0.4903  -10.4134
-20.0060  0.4903  -10.3980
-19.9740  0.4902  -10.3826
-19.9419  0.4902  -10.3672
-19.9099  0.4902  -10.3518
-19.8779  0.4902  -10.3364
-19.8458  0.4901  -10.3210
-19.8138  0.4901  -10.3056
-19.7818  0.4901  -10.2903
-19.7497  0.4900  -10.2749
-19.7177  0.4900  -10.2595
-19.6857  0.4900  -10.2441
-19.6537  0.4899  -10.2287
-19.6216  0.4899  -10.2134
-19.5896  0.4899  -10.1980
-19.5576  0.4898  -10.1826
-19.5255  0.4898  -10.1672
-19.4935  0.4898  -10.1519
-19.4615  0.4897  -10.1365
-19.4294  0.4897  -10.1211
-19.3974  0.4897  -10.1058
-19.3654  0.4896  -10.0904
-19.3333  0.4896  -10.0751
-19.3013  0.4896  -10.0597
-19.2693  0.4895  -10.0444
-19.2372  0.4895  -10.0290
-19.2052  0.4895  -10.0137
-19.1732  0.4894  -9.9983
-19.1411  0.4894  -9.9830
-19.1091  0.4894  -9.9676
-19.0771  0.4893  -9.9523
-19.0450  0.4893  -9.9369
-19.0130  0.4893  -9.9216
-18.9810  0.4892  -9.9063
-18.9489  0.4892  -9.8909
-18.9169  0.4892  -9.8756
-18.8849  0.4891  -9.8603
-18.8529  0.4891  -9.8450
-18.8208  0.4890  -9.8296
-18.7888  0.4890  -9.8143
-18.7568  0.4890  -9.7990
-18.7247  0.4889  -9.7837
-18.6927  0.4889  -9.7684
-18.6607  0.4889  -9.7530
-18.6286  0.4888  -9.7377
-18.5966  0.4888  -9.7224
-18.5646  0.4888  -9.7071
-18.5325  0.4887  -9.6918
-18.5005  0.4887  -9.6765
-18.4685  0.4886  -9.6612
-18.4364  0.4886  -9.6459
-18.4044  0.4886  -9.6306
-18.3724  0.4885  -9.6153
-18.3403  0.4885  -9.6001
-18.3083  0.4884  -9.5848
-18.2763  0.4884  -9.5695
-18.2442  0.4884  -9.5542
-18.2122  0.4883  -9.5389
-18.1802  0.4883  -9.5237
-18.1481  0.4882  -9.5084
-18.1161  0.4882  -9.4931
-18.0841  0.4882  -9.4778
-18.0521  0.4881  -9.4626
-18.0200  0.4881  -9.4473
-17.9880  0.4880  -9.4321
-17.9560  0.4880  -9.4168
-17.9239  0.4880  -9.4015
-17.8919  0.4879  -9.3863
-17.8599  0.4879  -9.3710
-17.8278  0.4878  -9.3558
-17.7958  0.4878  -9.3406
-17.7638  0.4878  -9.3253
-17.7317  0.4877  -9.3101
-17.6997  0.4877  -9.2948
-17.6677  0.4876  -9.2796
-17.6356  0.4876  -9.2644
-17.6036  0.4875  -9.2491
-17.5716  0.4875  -9.2339
-17.5395  0.4874  -9.2187
-17.5075  0.4874  -9.2035
-17.4755  0.4874  -9.1883
-17.4434  0.4873  -9.1730
-17.4114  0.4873  -9.1578
-17.3794  0.4872  -9.1426
-17.3473  0.4872  -9.1274
-17.3153  0.4871  -9.1122
-17.2833  0.4871  -9.0970
-17.2513  0.4870  -9.0818
-17.2192  0.4870  -9.0666
-17.1872  0.4869  -9.0514
-17.1552  0.4869  -9.0362
-17.1231  0.4869  -9.0210
-17.0911  0.4868  -9.0059
-17.0591  0.4868  -8.9907
-17.0270  0.4867  -8.9755
-16.9950  0.4867  -8.9603
-16.9630  0.4866  -8.9452
-16.9309  0.4866  -8.9300
-16.8989  0.4865  -8.9148
-16.8669  0.4865  -8.8997
-16.8348  0.4864  -8.8845
-16.8028  0.4864  -8.8694
-16.7708  0.4863  -8.8542
-16.7387  0.4863  -8.8391
-16.7067  0.4862  -8.8239
-16.6747  0.4862  -8.8088
-16.6426  0.4861  -8.7936
-16.6106  0.4861  -8.7785
-16.5786  0.4860  -8.7634
-16.5465  0.4860  -8.7482
-16.5145  0.4859  -8.7331
-16.4825  0.4858  -8.7180
-16.4505  0.4858  -8.7029
-16.4184  0.4857  -8.6877
-16.3864  0.4857  -8.6726
-16.3544  0.4856  -8.6575
-16.3223  0.4856  -8.6424
-16.2903  0.4855  -8.6273
-16.2583  0.4855  -8.6122
-16.2262  0.4854  -8.5971
-16.1942  0.4854  -8.5820
-16.1622  0.4853  -8.5669
-16.1301  0.4852  -8.5518
-16.0981  0.4852  -8.5368
-16.0661  0.4851  -8.5217
-16.0340  0.4851  -8.5066
-16.0020  0.4850  -8.4915
-15.9700  0.4850  -8.4765
-15.9379  0.4849  -8.4614
-15.9059  0.4848  -8.4463
-15.8739  0.4848  -8.4313
-15.8418  0.4847  -8.4162
