
#(3U-5J)/2  Del
-40.0000  1.9975  -40.0999
-39.9349  1.9975  -40.0350
-39.8699  1.9975  -39.9701
-39.8048  1.9975  -39.9052
-39.7397  1.9975  -39.8403
-39.6747  1.9975  -39.7754
-39.6096  1.9975  -39.7105
-39.5445  1.9974  -39.6456
-39.4795  1.9974  -39.5807
-39.4144  1.9974  -39.5158
-39.3493  1.9974  -39.4509
-39.2843  1.9974  -39.3860
-39.2192  1.9974  -39.3211
-39.1542  1.9974  -39.2562
-39.0891  1.9974  -39.1913
-39.0240  1.9974  -39.1264
-38.9590  1.9974  -39.0615
-38.8939  1.9974  -38.9967
-38.8288  1.9974  -38.9318
-38.7638  1.9973  -38.8669
-38.6987  1.9973  -38.8020
-38.6336  1.9973  -38.7371
-38.5686  1.9973  -38.6722
-38.5035  1.9973  -38.6073
-38.4384  1.9973  -38.5424
-38.3734  1.9973  -38.4775
-38.3083  1.9973  -38.4126
-38.2432  1.9973  -38.3477
-38.1782  1.9973  -38.2829
-38.1131  1.9973  -38.2180
-38.0480  1.9972  -38.1531
-37.9830  1.9972  -38.0882
-37.9179  1.9972  -38.0233
-37.8529  1.9972  -37.9584
-37.7878  1.9972  -37.8935
-37.7227  1.9972  -37.8287
-37.6577  1.9972  -37.7638
-37.5926  1.9972  -37.6989
-37.5275  1.9972  -37.6340
-37.4625  1.9972  -37.5691
-37.3974  1.9971  -37.5043
-37.3323  1.9971  -37.4394
-37.2673  1.9971  -37.3745
-37.2022  1.9971  -37.3096
-37.1371  1.9971  -37.2447
-37.0721  1.9971  -37.1799
-37.0070  1.9971  -37.1150
-36.9419  1.9971  -37.0501
-36.8769  1.9971  -36.9852
-36.8118  1.9971  -36.9204
-36.7467  1.9970  -36.8555
-36.6817  1.9970  -36.7906
-36.6166  1.9970  -36.7258
-36.5516  1.9970  -36.6609
-36.4865  1.9970  -36.5960
-36.4214  1.9970  -36.5311
-36.3564  1.9970  -36.4663
-36.2913  1.9970  -36.4014
-36.2262  1.9970  -36.3365
-36.1612  1.9969  -36.2717
-36.0961  1.9969  -36.2068
-36.0310  1.9969  -36.1419
-35.9660  1.9969  -36.0771
-35.9009  1.9969  -36.0122
-35.8358  1.9969  -35.9473
-35.7708  1.9969  -35.8825
-35.7057  1.9969  -35.8176
-35.6406  1.9969  -35.7528
-35.5756  1.9968  -35.6879
-35.5105  1.9968  -35.6230
-35.4454  1.9968  -35.5582
-35.3804  1.9968  -35.4933
-35.3153  1.9968  -35.4285
-35.2503  1.9968  -35.3636
