#U  J  Del
-5.3105  3.7211  0.4769
-5.3105  4.7842  0.4828
-5.3105  5.8474  0.4867
-5.3105  6.9105  0.4894
-5.3105  7.9737  0.4914
-5.3105  9.0368  0.4928
-5.3105  10.1000  0.4940
-4.7895  -10.1000  0.0000
-4.7895  -9.0368  0.0000
-4.7895  -7.9737  0.0000
-4.7895  -6.9105  0.0000
-4.7895  -5.8474  0.0000
-4.7895  -4.7842  0.0000
-4.7895  -3.7211  0.0000
-4.7895  -2.6579  0.0000
-4.7895  -1.5947  0.1390
-4.7895  -0.5316  0.3308
-4.7895  0.5316  0.4102
-4.7895  1.5947  0.4461
-4.7895  2.6579  0.4645
-4.7895  3.7211  0.4751
-4.7895  4.7842  0.4816
-4.7895  5.8474  0.4858
-4.7895  6.9105  0.4888
-4.7895  7.9737  0.4909
-4.7895  9.0368  0.4925
-4.7895  10.1000  0.4937
-4.2684  -10.1000  0.0000
-4.2684  -9.0368  0.0000
-4.2684  -7.9737  0.0000
-4.2684  -6.9105  0.0000
-4.2684  -5.8474  0.0000
-4.2684  -4.7842  0.0000
-4.2684  -3.7211  0.0000
-4.2684  -2.6579  0.0000
-4.2684  -1.5947  0.0702
-4.2684  -0.5316  0.2980
-4.2684  0.5316  0.3965
-4.2684  1.5947  0.4395
-4.2684  2.6579  0.4610
-4.2684  3.7211  0.4730
-4.2684  4.7842  0.4802
-4.2684  5.8474  0.4849
-4.2684  6.9105  0.4882
-4.2684  7.9737  0.4905
-4.2684  9.0368  0.4922
-4.2684  10.1000  0.4934
-3.7474  -10.1000  0.0000
-3.7474  -9.0368  0.0000
-3.7474  -7.9737  0.0000
-3.7474  -6.9105  0.0000
-3.7474  -5.8474  0.0000
-3.7474  -4.7842  0.0000
-3.7474  -3.7211  0.0000
-3.7474  -2.6579  0.0000
-3.7474  -1.5947  0.0236
-3.7474  -0.5316  0.2570
-3.7474  0.5316  0.3796
-3.7474  1.5947  0.4317
-3.7474  2.6579  0.4569
-3.7474  3.7211  0.4706
-3.7474  4.7842  0.4787
-3.7474  5.8474  0.4840
-3.7474  6.9105  0.4875
-3.7474  7.9737  0.4900
-3.7474  9.0368  0.4918
-3.7474  10.1000  0.4932
-3.2263  -10.1000  0.0000
-3.2263  -9.0368  0.0000
-3.2263  -7.9737  0.0000
-3.2263  -6.9105  0.0000
-3.2263  -5.8474  0.0000
-3.2263  -4.7842  0.0000
-3.2263  -3.7211  0.0000
-3.2263  -2.6579  0.0000
-3.2263  -1.5947  0.0103
-3.2263  -0.5316  0.2061
-3.2263  0.5316  0.3589
-3.2263  1.5947  0.4224
-3.2263  2.6579  0.4521
-3.2263  3.7211  0.4679
-3.2263  4.7842  0.4771
-3.2263  5.8474  0.4829
-3.2263  6.9105  0.4867
-3.2263  7.9737  0.4894
-3.2263  9.0368  0.4914
-3.2263  10.1000  0.4929
-2.7053  -10.1000  0.0000
-2.7053  -9.0368  0.0000
-2.7053  -7.9737  0.0000
-2.7053  -6.9105  0.0000
-2.7053  -5.8474  0.0000
-2.7053  -4.7842  0.0000
-2.7053  -3.7211  0.0000
-2.7053  -2.6579  0.0000
-2.7053  -1.5947  0.0000
-2.7053  -0.5316  0.1444
-2.7053  0.5316  0.3331
-2.7053  1.5947  0.4112
-2.7053  2.6579  0.4466
-2.7053  3.7211  0.4648
-2.7053  4.7842  0.4752
-2.7053  5.8474  0.4817
-2.7053  6.9105  0.4859
-2.7053  7.9737  0.4889
-2.7053  9.0368  0.4910
-2.7053  10.1000  0.4925
-2.1842  -10.1000  0.0000
-2.1842  -9.0368  0.0000
-2.1842  -7.9737  0.0000
-2.1842  -6.9105  0.0000
-2.1842  -5.8474  0.0000
-2.1842  -4.7842  0.0000
-2.1842  -3.7211  0.0000
-2.1842  -2.6579  0.0000
-2.1842  -1.5947  0.0000
-2.1842  -0.5316  0.0756
-2.1842  0.5316  0.3010
-2.1842  1.5947  0.3977
-2.1842  2.6579  0.4401
-2.1842  3.7211  0.4613
-2.1842  4.7842  0.4731
-2.1842  5.8474  0.4803
-2.1842  6.9105  0.4850
-2.1842  7.9737  0.4882
-2.1842  9.0368  0.4905
-2.1842  10.1000  0.4922
-1.6632  -10.1000  0.0000
-1.6632  -9.0368  0.0000
-1.6632  -7.9737  0.0000
-1.6632  -6.9105  0.0000
-1.6632  -5.8474  0.0000
-1.6632  -4.7842  0.0000
-1.6632  -3.7211  0.0000
-1.6632  -2.6579  0.0000
-1.6632  -1.5947  0.0000
-1.6632  -0.5316  0.0258
-1.6632  0.5316  0.2607
-1.6632  1.5947  0.3811
-1.6632  2.6579  0.4324
-1.6632  3.7211  0.4572
-1.6632  4.7842  0.4708
-1.6632  5.8474  0.4789
-1.6632  6.9105  0.4840
-1.6632  7.9737  0.4875
-1.6632  9.0368  0.4900
-1.6632  10.1000  0.4918
-1.1421  -10.1000  0.0000
-1.1421  -9.0368  0.0000
-1.1421  -7.9737  0.0000
-1.1421  -6.9105  0.0000
-1.1421  -5.8474  0.0000
-1.1421  -4.7842  0.0000
-1.1421  -3.7211  0.0000
-1.1421  -2.6579  0.0000
-1.1421  -1.5947  0.0000
-1.1421  -0.5316  0.0109
-1.1421  0.5316  0.2106
-1.1421  1.5947  0.3607
-1.1421  2.6579  0.4232
-1.1421  3.7211  0.4526
-1.1421  4.7842  0.4681
-1.1421  5.8474  0.4772
-1.1421  6.9105  0.4830
-1.1421  7.9737  0.4868
-1.1421  9.0368  0.4895
-1.1421  10.1000  0.4914
-0.6211  -10.1000  0.0000
-0.6211  -9.0368  0.0000
-0.6211  -7.9737  0.0000
-0.6211  -6.9105  0.0000
-0.6211  -5.8474  0.0000
-0.6211  -4.7842  0.0000
-0.6211  -3.7211  0.0000
-0.6211  -2.6579  0.0000
-0.6211  -1.5947  0.0000
-0.6211  -0.5316  0.0000
-0.6211  0.5316  0.1498
-0.6211  1.5947  0.3354
-0.6211  2.6579  0.4122
-0.6211  3.7211  0.4471
-0.6211  4.7842  0.4651
-0.6211  5.8474  0.4754
-0.6211  6.9105  0.4818
-0.6211  7.9737  0.4860
-0.6211  9.0368  0.4889
-0.6211  10.1000  0.4910
-0.1000  -10.1000  0.0000
-0.1000  -9.0368  0.0000
-0.1000  -7.9737  0.0000
-0.1000  -6.9105  0.0000
-0.1000  -5.8474  0.0000
-0.1000  -4.7842  0.0000
-0.1000  -3.7211  0.0000
-0.1000  -2.6579  0.0000
-0.1000  -1.5947  0.0000
-0.1000  -0.5316  0.0000
-0.1000  0.5316  0.0811
-0.1000  1.5947  0.3038
-0.1000  2.6579  0.3989
-0.1000  3.7211  0.4407
-0.1000  4.7842  0.4616
-0.1000  5.8474  0.4733
-0.1000  6.9105  0.4804
-0.1000  7.9737  0.4851
-0.1000  9.0368  0.4883
-0.1000  10.1000  0.4905
